2026/08/09 15:59:48.648, 59
2026/08/09 15:59:49.648, 59
2026/08/09 15:59:50.648, 61
2026/08/09 15:59:51.648, 617
2026/08/09 15:59:52.649, 617
2026/08/09 15:59:53.649, 617
2026/08/09 15:59:54.649, 617
2026/08/09 15:59:55.649, 617
2026/08/09 15:59:56.650, 617
2026/08/09 15:59:57.650, 617
2026/08/09 15:59:58.650, 617
2026/08/09 15:59:59.650, 617
2026/08/09 16:00:00.651, 617
2026/08/09 16:00:01.651, 617
2026/08/09 16:00:02.651, 617
2026/08/09 16:00:03.651, 617
2026/08/09 16:00:04.652, 617
2026/08/09 16:00:05.652, 617
2026/08/09 16:00:06.652, 617
2026/08/09 16:00:07.652, 617
2026/08/09 16:00:08.652, 617
2026/08/09 16:00:09.653, 617
2026/08/09 16:00:10.653, 617
2026/08/09 16:00:11.653, 617
2026/08/09 16:00:12.653, 617
2026/08/09 16:00:13.654, 617
2026/08/09 16:00:14.654, 617
2026/08/09 16:00:15.654, 617
2026/08/09 16:00:16.655, 617
2026/08/09 16:00:17.655, 617
2026/08/09 16:00:18.655, 617
2026/08/09 16:00:19.655, 617
2026/08/09 16:00:20.656, 617
2026/08/09 16:00:21.656, 617
2026/08/09 16:00:22.656, 2621
2026/08/09 16:00:23.659, 11087
2026/08/09 16:00:24.659, 16915
2026/08/09 16:00:25.659, 18015
2026/08/09 16:00:26.660, 18015
2026/08/09 16:00:27.660, 18015
2026/08/09 16:00:28.660, 18015
2026/08/09 16:00:29.660, 18015
2026/08/09 16:00:30.660, 18021
2026/08/09 16:00:31.660, 18021
2026/08/09 16:00:32.661, 18021
2026/08/09 16:00:33.661, 22511
2026/08/09 16:00:34.661, 22511
2026/08/09 16:00:35.661, 23247
2026/08/09 16:00:36.661, 23247
2026/08/09 16:00:37.662, 23247
2026/08/09 16:00:38.662, 23247
2026/08/09 16:00:39.662, 23244
