2026/08/09 12:54:36.872, 59
2026/08/09 12:54:37.872, 59
2026/08/09 12:54:38.872, 59
2026/08/09 12:54:39.873, 61
2026/08/09 12:54:40.873, 617
2026/08/09 12:54:41.873, 617
2026/08/09 12:54:42.873, 617
2026/08/09 12:54:43.874, 617
2026/08/09 12:54:44.874, 617
2026/08/09 12:54:45.874, 617
2026/08/09 12:54:46.874, 617
2026/08/09 12:54:47.875, 617
2026/08/09 12:54:48.875, 617
2026/08/09 12:54:49.875, 617
2026/08/09 12:54:50.875, 617
2026/08/09 12:54:51.876, 617
2026/08/09 12:54:52.876, 617
2026/08/09 12:54:53.876, 617
2026/08/09 12:54:54.876, 617
2026/08/09 12:54:55.876, 617
2026/08/09 12:54:56.877, 617
2026/08/09 12:54:57.877, 617
2026/08/09 12:54:58.877, 617
2026/08/09 12:54:59.877, 617
2026/08/09 12:55:00.878, 617
2026/08/09 12:55:01.878, 617
2026/08/09 12:55:02.878, 617
2026/08/09 12:55:03.878, 617
2026/08/09 12:55:04.880, 617
2026/08/09 12:55:05.880, 617
2026/08/09 12:55:06.881, 617
2026/08/09 12:55:07.881, 617
2026/08/09 12:55:08.882, 617
2026/08/09 12:55:09.882, 617
2026/08/09 12:55:10.882, 4863
2026/08/09 12:55:11.883, 15059
2026/08/09 12:55:12.883, 18015
2026/08/09 12:55:13.883, 18015
2026/08/09 12:55:14.884, 18015
2026/08/09 12:55:15.884, 18015
2026/08/09 12:55:16.884, 18015
2026/08/09 12:55:17.884, 18015
2026/08/09 12:55:18.884, 18015
2026/08/09 12:55:19.885, 22507
2026/08/09 12:55:20.885, 22507
2026/08/09 12:55:21.885, 23243
2026/08/09 12:55:22.885, 23243
2026/08/09 12:55:23.886, 23243
2026/08/09 12:55:24.886, 23243
